172.21.200.34, 2017-07-17 12:22:53, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003814
172.21.200.34, 2017-07-17 12:22:53, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001128
172.21.200.34, 2017-07-17 12:22:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000760
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/default/edit/CO2/views/dashboard/html.html, HTTP/1.1, 200, 0.220761
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002299
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004077
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.002029
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.008572
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001079
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001203
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001202
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001283
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001563
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001287
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001156
172.21.200.34, 2017-07-17 12:22:55, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001234
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001173
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001345
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001318
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001422
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001166
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001202
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001648
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001213
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001178
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001261
172.21.200.34, 2017-07-17 12:22:56, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002139
